Merchant ID,Country,Email,Phone Number,Channel,Transaction Count,Refund Count,Transaction Amount (MYR),Refund Amount (MYR),Refund Rate (%),Partial Refund Rate (%),Fully Refund Rate (%),Refund Level
Williams Inc,Malaysia,tylerjose@kelley.com,001-907-594-7730,"DuitNow QR Offline, TNG eWallet, FPX, DuitNow QR, Visa, Google Pay, Shopee PayLater, Mastercard, TNG eWallet Offline, Apple Pay, PayLater by Grab",1191,85,103420.45,6640.78,7.14,14.12,85.88,high
Phillips LLC,Thailand,nkennedy@wright-patterson.com,+1-745-250-0454x7427,"FPX, TNG eWallet Offline, Mastercard, Visa, DuitNow QR Offline, Apple Pay, DuitNow QR, TNG eWallet, PayLater by Grab, Shopee PayLater, Google Pay",801,56,72713.88,4004.14,6.99,19.64,80.36,high
"Knox, Bullock and Bowman",Thailand,xfreeman@roberts.com,947.269.5381x133,"FPX, TNG eWallet Offline, DuitNow QR Offline, Visa, Google Pay, TNG eWallet, DuitNow QR, Shopee PayLater, Mastercard, PayLater by Grab, Apple Pay",1848,127,188133.43,7846.33,6.87,18.11,81.89,high
King-Friedman,China,carterlaurie@jones.com,001-764-216-7393x6254,"DuitNow QR Offline, DuitNow QR, Visa, TNG eWallet Offline, FPX, TNG eWallet, Mastercard, Shopee PayLater, Google Pay, PayLater by Grab, Apple Pay",1991,134,190473.74,10193.77,6.73,15.67,84.33,high
Rollins-Williams,China,ftaylor@mitchell.org,601-998-6634x3660,"DuitNow QR, FPX, Shopee PayLater, TNG eWallet, Visa, TNG eWallet Offline, DuitNow QR Offline, Google Pay, Mastercard, PayLater by Grab, Apple Pay",750,50,77268.12,3691.05,6.67,14.0,86.0,high
"Johnson, Moore and Smith",Thailand,adamfoster@thomas.com,(738)202-4673,"FPX, Visa, TNG eWallet Offline, DuitNow QR, Mastercard, Shopee PayLater, DuitNow QR Offline, Google Pay, TNG eWallet, Apple Pay, PayLater by Grab",1404,93,137844.24,7023.41,6.62,17.2,82.8,high
Johnson Inc,Singapore,millerhaley@peters.com,881.877.3747,"TNG eWallet Offline, FPX, TNG eWallet, Mastercard, Visa, DuitNow QR Offline, DuitNow QR, Apple Pay, Shopee PayLater, PayLater by Grab, Google Pay",1209,80,112222.46,7352.12,6.62,17.5,82.5,high
Young-Huffman,Malaysia,smithjade@khan.com,001-420-934-1353x54055,"PayLater by Grab, Mastercard, FPX, TNG eWallet, Visa, DuitNow QR, DuitNow QR Offline, TNG eWallet Offline, Google Pay, Apple Pay, Shopee PayLater",1751,113,179431.78,13866.25,6.45,10.62,89.38,high
"Stafford, Hood and Ward",Thailand,michael16@taylor-jacobson.com,720-403-8233x25852,"Mastercard, TNG eWallet Offline, Google Pay, DuitNow QR, TNG eWallet, Apple Pay, DuitNow QR Offline, Visa, FPX, Shopee PayLater, PayLater by Grab",1036,66,109322.56,6899.9,6.37,16.67,83.33,high
"Gomez, Valdez and Rodriguez",Thailand,tammy18@kim-smith.com,+1-946-879-3459x6900,"TNG eWallet Offline, FPX, TNG eWallet, DuitNow QR, DuitNow QR Offline, Visa, Google Pay, Mastercard, Apple Pay, Shopee PayLater, PayLater by Grab",991,63,100560.88,5780.57,6.36,11.11,88.89,high
