date,merchant_id,channel,txn_count,total_amt
2025-12-25,Acosta PLC,DuitNow QR,1,685.44
2025-12-25,Aguilar PLC,DuitNow QR,1,32.89
2025-12-25,Aguilar PLC,DuitNow QR Offline,1,9.19
2025-12-25,"Aguilar, Roberts and Pruitt",Apple Pay,1,53.9
2025-12-25,"Aguilar, Roberts and Pruitt",FPX,1,29.66
2025-12-25,Aguirre-Adams,DuitNow QR,1,575.84
2025-12-25,Aguirre-Adams,TNG eWallet,1,52.46
2025-12-25,Ashley-Thomas,Mastercard,1,51.08
2025-12-25,Bailey Group,DuitNow QR,1,42.54
2025-12-25,Bailey Group,FPX,1,51.62
2025-12-25,Burke-Woods,Apple Pay,1,17.11
2025-12-25,Burke-Woods,DuitNow QR Offline,1,39.13
2025-12-25,Burke-Woods,TNG eWallet,2,94.5
2025-12-25,Burke-Woods,TNG eWallet Offline,1,34.19
2025-12-25,Burns LLC,DuitNow QR,1,38.15
2025-12-25,Burns LLC,DuitNow QR Offline,1,27.95
2025-12-25,Burns LLC,TNG eWallet,2,808.27
2025-12-25,"Cameron, Williams and Rojas",DuitNow QR,1,914.8
2025-12-25,"Cameron, Williams and Rojas",DuitNow QR Offline,1,32.74
2025-12-25,Carter Group,DuitNow QR Offline,1,41.53
2025-12-25,Carter Group,FPX,2,1258.65
2025-12-25,Chapman and Sons,DuitNow QR Offline,1,33.67
2025-12-25,Chapman and Sons,TNG eWallet,1,49.54
2025-12-25,Chapman-Herrera,Shopee PayLater,1,26.43
2025-12-25,Chapman-Herrera,TNG eWallet,2,87.34
2025-12-25,Chavez-Ball,DuitNow QR Offline,1,227.38
2025-12-25,Chavez-Ball,FPX,1,38.76
2025-12-25,Chavez-Ball,TNG eWallet Offline,1,32.91
2025-12-25,"Colon, Jensen and Russell",DuitNow QR,1,28.93
2025-12-25,"Colon, Jensen and Russell",TNG eWallet,1,5.79
2025-12-25,"Cowan, Ritter and Nichols",Google Pay,1,37.97
2025-12-25,"Cowan, Ritter and Nichols",TNG eWallet,1,16.86
2025-12-25,"Cowan, Ritter and Nichols",TNG eWallet Offline,1,1307.53
2025-12-25,Cowan-Reyes,DuitNow QR,1,44.73
2025-12-25,Cowan-Reyes,DuitNow QR Offline,1,16.88
2025-12-25,Cowan-Reyes,Mastercard,1,442.31
2025-12-25,Cruz-Henry,FPX,1,40.81
2025-12-25,Cruz-Henry,Google Pay,2,78.39
2025-12-25,Cruz-Henry,TNG eWallet Offline,1,811.44
2025-12-25,Dean and Sons,DuitNow QR Offline,1,34.89
2025-12-25,Dean and Sons,TNG eWallet,1,723.39
2025-12-25,Delacruz-Gilmore,DuitNow QR,1,52.58
2025-12-25,Delacruz-Gilmore,DuitNow QR Offline,2,69.92
2025-12-25,Delacruz-Gilmore,FPX,2,102.25
2025-12-25,Douglas LLC,FPX,1,378.34
2025-12-25,Douglas LLC,TNG eWallet,1,43.86
2025-12-25,Ellison-Park,DuitNow QR,1,53.8
2025-12-25,Ellison-Park,DuitNow QR Offline,1,20.95
2025-12-25,Ellison-Park,FPX,1,40.69
2025-12-25,Ellison-Park,TNG eWallet,1,142.77
2025-12-25,Figueroa Group,DuitNow QR,1,1.22
2025-12-25,Gomez LLC,FPX,1,35.69
2025-12-25,Gomez LLC,TNG eWallet Offline,1,49.42
2025-12-25,Gomez PLC,Mastercard,1,23.9
2025-12-25,Gomez PLC,TNG eWallet,1,42.56
2025-12-25,Gonzales-Brown,DuitNow QR,1,33.6
2025-12-25,Gonzales-Brown,DuitNow QR Offline,2,39.35
2025-12-25,Gonzales-Brown,Google Pay,1,43.47
2025-12-25,Gonzales-Brown,TNG eWallet,1,0.66
2025-12-25,Green-Vaughan,Shopee PayLater,1,22.48
2025-12-25,Hall and Sons,DuitNow QR,1,56.88
2025-12-25,Hall and Sons,Visa,1,43.49
2025-12-25,Hart LLC,DuitNow QR,2,86.17999999999999
2025-12-25,Hart LLC,TNG eWallet,2,87.68
2025-12-25,Hartman Group,TNG eWallet,1,18.16
2025-12-25,Hawkins-Wagner,DuitNow QR Offline,1,0.48
2025-12-25,"Hernandez, Church and Hughes",TNG eWallet,1,0.49
2025-12-25,Hernandez-Mitchell,TNG eWallet Offline,1,48.5
2025-12-25,"Huang, Berger and Martin",DuitNow QR,1,22.37
2025-12-25,"Huang, Berger and Martin",FPX,2,19.26
2025-12-25,"Huang, Berger and Martin",Mastercard,1,63.95
2025-12-25,Hughes and Sons,TNG eWallet,1,437.94
2025-12-25,Hughes and Sons,TNG eWallet Offline,1,28.54
2025-12-25,"Hughes, Taylor and Hicks",PayLater by Grab,1,54.11
2025-12-25,"Hughes, Taylor and Hicks",TNG eWallet,1,0.32
2025-12-25,Ibarra Ltd,FPX,1,43.12
2025-12-25,Ibarra Ltd,Shopee PayLater,1,20.84
2025-12-25,Ibarra Ltd,TNG eWallet Offline,1,21.12
2025-12-25,"James, Potter and Nguyen",Shopee PayLater,1,25.6
2025-12-25,Johnson-Simpson,DuitNow QR,1,50.78
2025-12-25,Johnson-Simpson,DuitNow QR Offline,1,56.06
2025-12-25,Johnson-Simpson,TNG eWallet,2,39.92
2025-12-25,"Jordan, Robinson and Davis",DuitNow QR,1,55.96
2025-12-25,Kaufman-Hooper,FPX,1,15.39
2025-12-25,Kaufman-Hooper,TNG eWallet,1,0.64
2025-12-25,Kaufman-Hooper,TNG eWallet Offline,1,48.92
2025-12-25,Kelley-Wade,Mastercard,1,22.39
2025-12-25,Lee Inc,TNG eWallet,1,618.11
2025-12-25,Lee Inc,TNG eWallet Offline,1,55.59
2025-12-25,Lee-White,Apple Pay,1,29.58
2025-12-25,Lee-White,Google Pay,1,20.91
2025-12-25,Lee-White,Shopee PayLater,1,38.89
2025-12-25,Lewis Inc,TNG eWallet,3,1667.72
2025-12-25,Logan Inc,DuitNow QR,1,264.96
2025-12-25,"Logan, Saunders and Hayes",DuitNow QR,2,931.0799999999999
2025-12-25,"Logan, Saunders and Hayes",DuitNow QR Offline,1,25.75
2025-12-25,"Logan, Saunders and Hayes",TNG eWallet Offline,1,424.49
2025-12-25,Logan-Silva,Mastercard,1,0.63
2025-12-25,"Marshall, Paul and Nelson",DuitNow QR Offline,1,1.12
2025-12-25,"Marshall, Paul and Nelson",FPX,1,42.52
2025-12-25,"Marshall, Paul and Nelson",TNG eWallet,1,62.71
2025-12-25,"Marshall, Paul and Nelson",TNG eWallet Offline,1,41.73
2025-12-25,Martinez Ltd,DuitNow QR Offline,1,71.24
2025-12-25,Martinez Ltd,FPX,1,87.11
2025-12-25,Martinez Ltd,Shopee PayLater,1,36.4
2025-12-25,Mathews-Hudson,FPX,1,49.28
2025-12-25,"May, Brown and Walters",PayLater by Grab,1,49.65
2025-12-25,"May, Brown and Walters",TNG eWallet,1,10.61
2025-12-25,"May, Brown and Walters",Visa,1,45.81
2025-12-25,"Mcmillan, Fowler and Calderon",TNG eWallet,1,15.19
2025-12-25,Mejia and Sons,DuitNow QR Offline,1,29.21
2025-12-25,Mejia and Sons,TNG eWallet,1,30.88
2025-12-25,Mejia-Bradley,Mastercard,1,40.59
2025-12-25,Miranda and Sons,DuitNow QR,2,13.62
2025-12-25,Miranda and Sons,Google Pay,1,71.38
2025-12-25,Miranda and Sons,Mastercard,1,42.55
2025-12-25,Miranda and Sons,TNG eWallet,1,63.01
2025-12-25,Morgan-Mcbride,DuitNow QR Offline,1,0.29
2025-12-25,Morrow-Moore,DuitNow QR Offline,1,33.26
2025-12-25,Morrow-Moore,FPX,1,35.21
2025-12-25,Nguyen-Sheppard,FPX,1,346.88
2025-12-25,Owen Group,TNG eWallet,2,115.22
2025-12-25,Owen Group,Visa,1,26.85
2025-12-25,Parks LLC,DuitNow QR Offline,1,54.45
2025-12-25,Parks LLC,TNG eWallet,1,70.79
2025-12-25,Patel and Sons,FPX,1,36.18
2025-12-25,"Perez, Knox and Cardenas",TNG eWallet,1,46.66
2025-12-25,Petersen LLC,Mastercard,1,0.72
2025-12-25,Phillips Ltd,Apple Pay,1,61.56
2025-12-25,Phillips Ltd,PayLater by Grab,1,47.43
2025-12-25,Phillips PLC,FPX,1,50.11
2025-12-25,"Ramirez, Cruz and Patrick",TNG eWallet Offline,1,32.2
2025-12-25,Reed Group,Apple Pay,1,27.03
2025-12-25,Reed Group,DuitNow QR,1,43.13
2025-12-25,Reed Group,TNG eWallet,2,99.76
2025-12-25,"Rice, Prince and Johnson",FPX,2,60.24
2025-12-25,"Rice, Prince and Johnson",Visa,1,35.29
2025-12-25,Richards-Little,TNG eWallet Offline,2,45.0
2025-12-25,Richards-Little,Visa,1,31.14
2025-12-25,Richardson-Goodman,DuitNow QR,2,40.57
2025-12-25,Richardson-Goodman,FPX,1,41.15
2025-12-25,Richardson-Goodman,Mastercard,2,80.41999999999999
2025-12-25,"Rivera, Webster and Rose",DuitNow QR,1,40.56
2025-12-25,Robinson Ltd,DuitNow QR Offline,1,42.5
2025-12-25,"Roman, Willis and Rojas",DuitNow QR Offline,2,84.22
2025-12-25,"Roman, Willis and Rojas",Mastercard,1,37.51
2025-12-25,"Roman, Willis and Rojas",TNG eWallet,1,29.89
2025-12-25,"Romero, Morrison and Morales",FPX,1,36.98
2025-12-25,"Romero, Morrison and Morales",TNG eWallet,1,34.39
2025-12-25,Ross Inc,TNG eWallet,1,686.76
2025-12-25,"Schmidt, Villanueva and Smith",PayLater by Grab,2,320.82
2025-12-25,Scott LLC,DuitNow QR,1,44.07
2025-12-25,"Simmons, Mccarty and Weaver",DuitNow QR,1,30.39
2025-12-25,"Smith, Cooper and Cabrera",DuitNow QR,1,27.14
2025-12-25,"Smith, Cooper and Cabrera",FPX,1,57.63
2025-12-25,"Smith, Cooper and Cabrera",TNG eWallet,1,40.18
2025-12-25,"Smith, Cooper and Cabrera",Visa,1,33.69
2025-12-25,"Smith, Ferguson and Lewis",Mastercard,1,22.07
2025-12-25,"Smith, Ferguson and Lewis",TNG eWallet Offline,1,44.55
2025-12-25,Stein-Kelly,Mastercard,2,54.99
2025-12-25,Stein-Kelly,TNG eWallet,1,17.27
2025-12-25,"Stone, Marshall and Knox",Google Pay,1,254.93
2025-12-25,"Stone, Marshall and Knox",Shopee PayLater,1,594.52
2025-12-25,"Stone, Marshall and Knox",TNG eWallet,2,63.67
2025-12-25,"Stone, Marshall and Knox",Visa,1,17.48
2025-12-25,Sullivan Group,DuitNow QR Offline,1,10.66
2025-12-25,Sullivan Group,TNG eWallet Offline,1,46.98
2025-12-25,Thomas PLC,PayLater by Grab,1,39.75
2025-12-25,"Townsend, Bishop and Mccoy",Apple Pay,1,14.09
2025-12-25,"Townsend, Bishop and Mccoy",DuitNow QR,1,48.73
2025-12-25,"Townsend, Bishop and Mccoy",FPX,1,27.93
2025-12-25,"Townsend, Bishop and Mccoy",TNG eWallet,1,427.61
2025-12-25,"Tran, Ellis and West",DuitNow QR Offline,3,83.78
2025-12-25,"Tran, Ellis and West",Mastercard,1,66.44
2025-12-25,"Valdez, Moon and Miller",Mastercard,1,68.71
2025-12-25,"Valdez, Moon and Miller",TNG eWallet Offline,1,59.82
2025-12-25,Vasquez PLC,TNG eWallet,1,60.29
2025-12-25,Vega-Nelson,TNG eWallet Offline,1,15.26
2025-12-25,Warren-Avila,TNG eWallet,1,41.8
2025-12-25,Warren-Avila,TNG eWallet Offline,1,55.66
2025-12-25,Weaver-Green,FPX,1,63.21
2025-12-25,White-Howard,DuitNow QR Offline,1,19.75
2025-12-25,"Whitehead, Payne and Smith",Apple Pay,1,55.2
2025-12-25,"Whitehead, Payne and Smith",DuitNow QR Offline,1,43.0
2025-12-25,"Whitehead, Payne and Smith",Mastercard,1,37.4
2025-12-25,"Whitehead, Payne and Smith",TNG eWallet Offline,1,29.1
2025-12-25,Williams PLC,DuitNow QR Offline,1,326.36
2025-12-25,Williams PLC,FPX,1,49.92
2025-12-25,Williams PLC,Mastercard,1,61.57
2025-12-25,Williams PLC,TNG eWallet Offline,1,30.8
2025-12-25,Williams-Walker,TNG eWallet Offline,1,37.99
2025-12-26,Acosta PLC,DuitNow QR,1,32.91
2025-12-26,Acosta PLC,DuitNow QR Offline,1,39.58
2025-12-26,"Aguilar, Roberts and Pruitt",Google Pay,1,20.52
2025-12-26,"Aguilar, Roberts and Pruitt",Shopee PayLater,1,33.91
2025-12-26,"Aguilar, Roberts and Pruitt",TNG eWallet,1,44.33
2025-12-26,Aguirre-Adams,DuitNow QR Offline,1,38.64
2025-12-26,Avery Ltd,Apple Pay,1,0.66
2025-12-26,Bailey Group,Visa,1,354.24
2025-12-26,Barnes-Taylor,Shopee PayLater,1,33.27
2025-12-26,Barnes-Taylor,TNG eWallet,1,46.84
2025-12-26,Benton LLC,DuitNow QR Offline,1,13.36
2025-12-26,Benton LLC,TNG eWallet,1,33.08
2025-12-26,Benton LLC,TNG eWallet Offline,2,110.19
2025-12-26,Burke-Woods,DuitNow QR,1,54.7
