merchant_id,leader_name,create_date,address,country,email,phone,industry
Richards-Little,Ms. Rachel Baker,2025-10-23,"7251 Patterson Station, New Jeremyshire, IL 72094",China,maciasandrew@simpson.info,206-857-7069x1009,Food & Beverage
"Carlson, Lyons and Gonzalez",Sarah Ponce,2023-06-03,"609 Padilla Alley Apt. 720, South Lisafurt, AZ 14076",China,dereksaunders@rogers.com,(219)491-7442x3651,Electronics
"Roman, Willis and Rojas",Pamela Miller,2023-07-13,"266 Alvarez Union, Dixonville, CT 49925",Singapore,sewing@frazier.com,+1-720-656-7585,Home Goods
Hart LLC,Rachel Silva,2022-05-07,"781 Phillip Ridges, Mullinsstad, TN 46189",United Kingdom,donnafitzgerald@booker-nelson.com,001-954-276-1066x2721,Health & Beauty
"Whitehead, Payne and Smith",Ellen Flores,2023-06-10,"91432 Trevor Burg, Salazarmouth, FM 78392",United States,gibsonshane@miller-meyers.com,(283)812-5698,Apparel
"Colon, Jensen and Russell",Barbara Hoffman,2025-08-07,"95304 Mary Cliffs Apt. 799, South Miranda, WI 36193",Malaysia,terri58@washington-young.com,965-993-2903,Home Goods
Chapman and Sons,Daniel Stein,2024-07-09,"0871 Goodwin Viaduct Apt. 075, Owensmouth, MS 02269",Thailand,shawnharper@castro.com,+1-217-573-3807,Apparel
"Simon, Butler and Scott",Katelyn Zimmerman,2025-05-29,"268 Sandra Track Apt. 338, Castanedaport, AL 85263",Thailand,kyle18@munoz-hill.biz,001-374-714-9504x4155,Home Goods
"Smith, Ferguson and Lewis",Kenneth Whitaker,2022-10-12,"824 Burgess Hollow Apt. 754, South Traci, ID 61931",Thailand,malexander@kirk.com,001-296-939-3989x612,Apparel
Williams PLC,Lisa Zhang,2025-08-30,"916 Thomas Flat, Port Alexander, SD 42324",United Kingdom,xbeard@jones.com,+1-336-668-4643x1018,Health & Beauty
Martinez Ltd,Eric Lee,2024-12-05,"99469 Nicholas Path, New Vernonburgh, WI 07747",United Kingdom,gbarber@smith-ortiz.com,+1-939-881-6347x67357,Travel
Phillips Ltd,Matthew Haney,2025-03-26,"195 Dana Passage Suite 802, Port Melissa, MN 31687",Malaysia,dwashington@bailey-black.com,699.312.7430x288,Home Goods
Warren-Avila,Jimmy Grant,2024-08-06,"275 Pruitt Expressway, Montgomeryshire, NC 97149",Malaysia,millstodd@campbell.info,3842920270,Electronics
Aguilar PLC,John Hill,2022-07-11,"2784 Nicole Skyway Apt. 089, Grossville, KY 94165",Malaysia,johnnyfields@rivera-gonzalez.net,001-594-854-7474,Travel
Hawkins-Wagner,Keith Robinson,2023-04-25,"84273 Bruce Mount Suite 601, Davidside, PR 50501",Thailand,wheelerjeffrey@donaldson-davis.com,802.322.9493x5686,Electronics
"Ramirez, Cruz and Patrick",Christopher Oconnor,2022-03-29,"PSC 8750, Box 9792, APO AA 70814",Singapore,williamskimberly@edwards-valenzuela.org,001-931-952-7517x5591,Electronics
Cox-Strong,Keith Smith,2022-11-29,"168 Henry Route, Joshuaport, PW 39126",Thailand,kathrynrobinson@gallegos.org,680-374-5677x459,Apparel
Peterson Group,David Moore III,2022-04-19,"99961 Watts Light, Careybury, AS 30109",China,wilsoncristina@cantu-cox.com,665-525-8065,Food & Beverage
"Schmidt, Villanueva and Smith",Javier Bell,2024-05-30,"05172 Myers Crossroad Apt. 845, West Danielmouth, VI 83710",China,zoegibbs@simpson-nguyen.info,597-250-4565,Home Goods
Avery Ltd,Keith Roberts,2022-11-11,"2139 Martinez Turnpike, Tammyview, VI 81667",United States,wardphillip@martinez.com,736-876-9524x35507,Travel
Stein-Kelly,Anthony Kent,2022-05-09,"599 Paul Mountains, South Charles, MA 26648",United Kingdom,imaldonado@moore.net,4016990874,Travel
"Romero, Morrison and Morales",Dale Harrison,2024-06-27,"07986 Dougherty Mount Apt. 374, Vegaberg, AR 65965",Singapore,jason01@stevenson-ortiz.com,390-646-8757x73763,Food & Beverage
"Valdez, Moon and Miller",Kevin Fischer,2025-08-30,"4106 James Lights, New Albertville, NH 42577",China,deanmorgan@wolf-hopkins.org,001-374-332-4797x18241,Home Goods
Ritter-Stark,Stephen Montes,2023-07-22,"347 Morris Walks, South Williamville, MN 50527",United Kingdom,ggonzalez@stone-lee.net,001-539-409-9741,Health & Beauty
"Mcmillan, Fowler and Calderon",Sandra Nguyen,2023-09-11,"3719 Michael Parkway Suite 726, New Jennifer, NY 51347",China,austin13@schmidt.com,381.599.3963x09494,Travel
Lee Inc,Timothy Washington,2024-11-12,"2147 Angela Pike Suite 535, East Shannon, AK 26638",China,collinsbrett@sullivan.com,+1-323-637-6043,Travel
"Stone, Marshall and Knox",Sarah Lowe,2022-10-11,"65164 Alvarez Burg Apt. 087, Lake Brandonfurt, LA 80897",United Kingdom,williamsmichele@shaw.org,001-639-442-8888x96386,Health & Beauty
"Smith, Cooper and Cabrera",Ruben Andrade,2025-09-10,"7738 Goodwin Loaf, Jonesland, SC 50402",Singapore,robertfloyd@torres-johnson.info,662.727.3950x9335,Home Goods
Hall and Sons,Robert Miller,2023-03-22,"USS Mullins, FPO AA 99796",Thailand,nicolehernandez@rice-porter.biz,001-879-459-2599x99879,Electronics
Weaver-Green,Robert Dyer,2023-09-17,"007 Palmer Keys Suite 528, Heatherfurt, MS 56766",United States,lance00@jones.com,2873707062,Travel
"Jordan, Robinson and Davis",Kevin Weeks,2022-01-11,"81991 Julie Spring, North Rebecca, SC 72125",United Kingdom,matthew50@lawrence-johnson.com,924.549.2063x390,Apparel
Reed Group,Mr. John Stein,2023-06-23,"72189 Church Gateway Suite 641, New Jeffery, MT 86641",United Kingdom,jacksonmichael@smith-munoz.info,421.736.6139x709,Food & Beverage
Patel and Sons,Elizabeth Lin,2023-10-17,"875 Bradley Plaza Apt. 231, East Carlton, NV 21896",United Kingdom,badams@jones-lewis.com,+1-405-271-2114,Health & Beauty
Dean and Sons,Anna Franklin,2025-03-02,"190 Sheri Trail Suite 735, Port Ryanmouth, MT 02971",United States,kelly47@martinez.com,+1-609-621-6053,Electronics
Ross Inc,Jessica Williams,2022-06-08,"31325 Trujillo Junctions Apt. 164, West Elijah, UT 01321",United Kingdom,stephen12@leach-sanford.net,702-532-2346x34527,Travel
Vasquez PLC,Kenneth Davis,2022-03-01,"25075 Amanda Street Apt. 991, Lake Pedro, UT 98362",United Kingdom,fsmith@esparza.biz,+1-510-822-0951x544,Health & Beauty
Lewis Inc,Michele Willis,2022-06-22,"28541 Shah Alley, New Markburgh, NY 52731",United States,kmosley@rhodes.info,509-421-9375x76266,Travel
King-Martinez,Lisa Flores,2025-05-24,"00206 John Brook Suite 882, South Susanfort, NM 38011",United States,william80@beltran.com,(255)570-1091,Home Goods
Mejia and Sons,Dylan Bauer,2025-09-02,"19872 Lynch Light, Michaelland, MN 11479",Singapore,rodriguezelizabeth@smith.net,+1-663-778-1350x41106,Travel
"Simmons, Mccarty and Weaver",Kenneth Clark,2024-02-27,"94079 Francisco Mount Apt. 657, West Timothyberg, NE 75395",Thailand,peter66@hodge.com,852.668.9191,Health & Beauty
Campbell Ltd,Amanda Davis,2023-01-21,"998 Kevin Isle, Ginachester, PR 50760",Malaysia,fcurtis@castro.com,001-243-340-9531,Home Goods
Dixon-Johnson,Taylor Keller,2024-02-12,"8346 Johnson Park, Meyerfurt, FL 65612",Singapore,uhenry@edwards.com,997-312-2216x19636,Travel
"Logan, Saunders and Hayes",Adam Ford,2024-12-28,"67761 Kathleen Gardens, New Steven, GU 44189",United States,zburns@wilson.com,+1-658-338-8706x44171,Food & Beverage
Johnson-Simpson,Allen Rich,2025-02-27,"369 Moreno Brook, Piercemouth, OK 93214",Malaysia,brianna01@peterson-mills.net,001-945-970-4229x89015,Apparel
Chapman-Herrera,Sarah Richmond,2025-08-17,"75639 Lewis Mills, Lake Christopherland, FM 15370",China,dsmith@moore.com,001-746-575-4884x1396,Travel
"James, Potter and Nguyen",Brandon Stone,2025-09-01,"16244 John Cape Apt. 921, South Edwardtown, MT 75248",United Kingdom,brenda87@franklin.biz,001-703-613-5527x06334,Home Goods
Hartman Group,Matthew Potter,2023-10-28,"PSC 9990, Box 4838, APO AP 96336",United Kingdom,brittanyhudson@jones-snyder.com,6148651183,Apparel
Hughes and Sons,Kelly Wong,2023-01-17,"890 Michael Extensions Suite 253, West Nathanielfort, TX 04629",United Kingdom,ydillon@lee-molina.com,6335276573,Home Goods
Richardson-Goodman,April Silva,2025-02-16,"96365 Bennett Ville Apt. 820, North Dennis, NV 02950",Malaysia,zlam@chavez-bryant.org,001-311-859-4448x68507,Health & Beauty
