merchant_id,leader_name,create_date,address,country,email,phone,industry
"Walker, Floyd and Graham",Keith Shelton,2025-01-04,"87980 Andrew Parks, Brandonfurt, NY 92602",United States,edwardadams@bradford-drake.org,(569)442-6080,Health & Beauty
Landry-Moreno,Scott Brown,2022-04-02,"429 Chad Street, Port Andremouth, MO 69530",China,katherinelarson@murray-morgan.com,320.353.9180x5315,Electronics
"Martinez, Gray and Kent",James Yang,2025-03-04,"6319 Alexis Highway Suite 153, Lynntown, PW 72128",United States,jonathan59@hubbard.com,(455)333-1538x1278,Food & Beverage
"Ingram, Pratt and York",Kenneth Schroeder,2022-02-01,"6835 Padilla Plains Suite 095, Gonzaleztown, WA 31722",China,jhayes@griffin.com,001-696-491-6581,Home Goods
"Thompson, Rivera and Ross",Dennis Deleon,2023-01-29,"20179 Pacheco Village, Ambershire, TN 57297",United States,julia88@farmer.com,701.276.5522x0328,Food & Beverage
Reid Group,Melissa Maynard,2023-01-16,"61838 Mary Loaf, Alexisburgh, AR 35835",Singapore,psparks@howe.org,490-777-3437x479,Travel
"Sutton, Howard and Rollins",Jeff Castillo,2024-02-01,"843 Michael Ways Apt. 875, Ethanview, GA 56345",United States,cynthiaramirez@martinez.com,(862)445-0692x4987,Food & Beverage
Young-Huffman,Robert James,2023-04-14,"2545 Curtis Cliffs Suite 491, Lake Joshuatown, IL 43076",Malaysia,smithjade@khan.com,001-420-934-1353x54055,Travel
Maxwell Group,Jeffery Jones,2022-11-14,"067 Mcintyre Mews, New Kristinberg, UT 01939",United Kingdom,fmoore@aguirre.com,717.296.7247,Health & Beauty
Johnson Inc,Laura Watts,2025-12-28,"8150 Ashley Field Apt. 336, Melissaside, WY 19408",Singapore,millerhaley@peters.com,881.877.3747,Travel
Williams Inc,Megan Vargas,2022-02-16,"5678 Hammond Skyway Apt. 280, Lake Sandra, MN 11242",Malaysia,tylerjose@kelley.com,001-907-594-7730,Food & Beverage
Arnold PLC,Catherine Gonzalez,2024-11-17,"91365 Boyd Camp, Kaylastad, NE 71621",United States,lisa88@powell.com,964-350-0293x39948,Food & Beverage
Jennings PLC,Howard White,2022-03-31,"3101 David Wall Suite 341, Rodriguezchester, KY 43318",United States,lweber@harding.org,339-839-9322,Food & Beverage
Gross-Harrington,David Smith Jr.,2024-05-05,"6607 Pamela Gardens Apt. 390, New Jamesberg, IL 39575",Singapore,robert51@johnson.info,324-689-6002x3252,Health & Beauty
Lopez-Cole,Samuel Gill,2023-10-31,"894 Molly Ramp Apt. 309, Lake Meganmouth, OK 26239",United Kingdom,bcastillo@snyder.com,001-907-319-5355x33349,Health & Beauty
Pineda PLC,Christopher Leon,2025-04-03,"61895 Warren Oval, Hallbury, OR 11910",Thailand,rogersshelby@olson.com,342.932.4351,Apparel
Hunter and Sons,Katherine Butler,2024-11-25,"9719 Nathan Unions, Stephanieport, NJ 20437",Singapore,tyler56@golden-vasquez.com,353-444-5968x166,Food & Beverage
King-Friedman,Bianca Smith,2023-10-26,"26034 Norton Road, New Michael, MS 24635",China,carterlaurie@jones.com,001-764-216-7393x6254,Health & Beauty
Simon and Sons,Noah Carpenter,2022-06-15,"PSC 7772, Box 6872, APO AE 24509",United Kingdom,meganstephens@bryant.org,(480)864-7428,Health & Beauty
Galloway Inc,Daniel Jacobs,2022-03-12,"97127 Holmes Trail Suite 258, Lorettaland, LA 20180",United States,nelsonkathy@ramos.com,6965465349,Home Goods
"Spencer, Martinez and Gallegos",Heather Jensen,2024-05-17,"733 Timothy Lock Suite 083, South James, VT 78709",United Kingdom,rbarr@carrillo.info,879-949-8949,Home Goods
